DATE,BOGMBASE
2015-01-01,4017100.0
2015-02-01,3840500.0
2015-03-01,4030600.0
2015-04-01,4059400.0
2015-05-01,3949400.0
2015-06-01,3919600.0
2015-07-01,3961200.0
2015-08-01,3984000.0
2015-09-01,4028500.0
2015-10-01,4060500.0
2015-11-01,4006700.0
2015-12-01,3835800.0
2016-01-01,3792700.0
2016-02-01,3872500.0
2016-03-01,3898400.0
2016-04-01,3872900.0
2016-05-01,3836500.0
2016-06-01,3825500.0
2016-07-01,3772500.0
2016-08-01,3816700.0
2016-09-01,3735900.0
2016-10-01,3572100.0
2016-11-01,3629800.0
2016-12-01,3531600.0
2017-01-01,3595500.0
2017-02-01,3746400.0
2017-03-01,3856300.0
2017-04-01,3821700.0
2017-05-01,3774400.0
2017-06-01,3762800.0
2017-07-01,3795400.0
2017-08-01,3910000.0
2017-09-01,3874500.0
2017-10-01,3829900.0
2017-11-01,3907700.0
2017-12-01,3851000.0
2018-01-01,3824800.0
2018-02-01,3855100.0
2018-03-01,3800600.0
2018-04-01,3727100.0
2018-05-01,3674800.0
2018-06-01,3650500.0
2018-07-01,3618300.0
2018-08-01,3584500.0
2018-09-01,3559800.0
2018-10-01,3520900.0
2018-11-01,3476300.0
2018-12-01,3400700.0
2019-01-01,3346900.0
2019-02-01,3353500.0
2019-03-01,3381500.0
2019-04-01,3286700.0
2019-05-01,3244500.0
2019-06-01,3274800.0
2019-07-01,3260300.0
2019-08-01,3271400.0
2019-09-01,3202700.0
2019-10-01,3252800.0
2019-11-01,3315600.0
2019-12-01,3426500.0
2020-01-01,3442600.0
2020-02-01,3454500.0
2020-03-01,3883100.0
2020-04-01,4844900.0
2020-05-01,5149400.0
2020-06-01,5001800.0
2020-07-01,4700300.0
2020-08-01,4807400.0
2020-09-01,4880300.0
2020-10-01,4917100.0
2020-11-01,5093000.0
2020-12-01,5206500.0
2021-01-01,5248000.0
2021-02-01,5446800.0
2021-03-01,5839000.0
2021-04-01,6042100.0
2021-05-01,6041900.0
2021-06-01,6027000.0
2021-07-01,6130200.0
2021-08-01,6328700.0
2021-09-01,6388800.0
2021-10-01,6330900.0
2021-11-01,6394700.0
2021-12-01,6413100.0
2022-01-01,6103900.0
2022-02-01,6040000.0
2022-03-01,6134500.0
